@relation InitialSetByLHS

@attribute Time.spark.rpc.retry.wait numeric
@attribute Size.spark.driver.memory numeric
@attribute Size.spark.reducer.maxSizeInFlight numeric
@attribute spark.shuffle.memoryFraction numeric
@attribute Size.spark.memory.offHeap.size numeric
@attribute Size.spark.executor.memory numeric
@attribute Size.spark.broadcast.blockSize numeric
@attribute spark.shuffle.service.index.cache.entries numeric
@attribute Time.spark.rpc.lookupTimeout numeric
@attribute Time.spark.speculation.interval numeric
@attribute Time.spark.executor.heartbeatInterval numeric
@attribute Time.spark.dynamicAllocation.schedulerBacklogTimeout numeric
@attribute Size.spark.shuffle.file.buffer numeric
@attribute spark.shuffle.sort.bypassMergeThreshold numeric
@attribute Time.spark.locality.wait numeric
@attribute spark.speculation.quantile numeric
@attribute Size.spark.storage.memoryMapThreshold numeric
@attribute Time.spark.dynamicAllocation.executorIdleTimeout numeric
@attribute Time.spark.files.fetchTimeout numeric
@attribute spark.rpc.message.maxSize numeric
@attribute Time.spark.network.timeout numeric
@attribute spark.files.maxPartitionBytes numeric
@attribute spark.scheduler.minRegisteredResourcesRatio numeric
@attribute spark.storage.memoryFraction numeric
@attribute spark.executor.cores numeric
@attribute Time.spark.scheduler.revive.interval numeric
@attribute spark.task.cpus numeric
@attribute spark.memory.fraction numeric
@attribute spark.memory.storageFraction numeric
@attribute spark.storage.unrollFraction numeric
@attribute performance numeric

@data
18772,4836491,659386,0.364361,11519753,4103139,270742,8692,145,2784,17820,8489,540759,126,17537,0.658353,1022220,296291,530462,616,351,935820561,0.39816,0.047571,1.311575,5681,1.819028,0.976119,0.538846,0.36448,43
19119,15451139,988692,0.198979,10231534,13327073,426663,3842,46,9883,12969,8169,78844,79,19830,0.322902,782512,528292,286101,334,144,326538361,0.516738,0.061139,6.024867,6652,1.788051,0.397335,0.922315,0.808098,122
19519,16722770,670400,0.106175,8708371,8472664,945377,299,246,9561,13378,4789,720463,291,5723,0.707406,568447,286199,442506,806,278,1215274105,0.800668,0.183074,6.544944,4534,1.692691,0.52766,0.064591,0.264637,134
19740,13635826,492839,0.26493,2228256,8186542,788058,5496,332,6235,16797,1969,20867,108,9203,0.153884,701987,65945,435289,844,293,362390824,0.033273,0.317004,11.230472,8548,1.046189,0.82529,0.744944,0.526984,127
20039,2759934,470937,0.402685,7360746,15629281,450797,3095,266,649,13780,5787,1015457,356,2235,0.252819,947769,400387,336167,52,355,482300512,0.582392,0.632639,6.742195,3269,1.489824,0.905817,0.977526,0.62112,137
20160,11402976,767454,0.796916,11395879,11974883,973446,5619,174,3863,19222,5191,427749,381,2120,0.972259,49467,164419,123361,186,172,596078345,0.988486,0.850667,7.829077,4501,1.735171,0.548376,0.931412,0.718615,128
20537,4301555,298035,0.61328,10659361,7427810,906974,4690,341,4745,26351,6652,680475,417,15258,0.762259,372398,251548,215431,262,170,541076707,0.176433,0.835277,12.611877,4624,1.281009,0.875948,0.683273,0.425875,128
20920,6160933,172573,0.254486,4450525,16511503,205709,7092,55,1331,14800,8623,101766,431,3800,0.427154,707007,444088,449856,691,318,843546360,0.348429,0.167064,8.5472,9811,1.618797,0.519013,0.866704,0.130517,135
21248,10333815,1021944,0.334275,3759272,7113364,354719,4929,135,8012,9495,9578,710822,268,29515,0.637018,733043,461634,155809,815,80,975263486,0.256368,0.967206,8.803761,3556,1.683989,0.463328,0.602411,0.899068,122
21536,13255772,840205,0.708753,6330754,7288178,409841,7959,69,9792,4789,8345,873867,321,20365,0.110919,973404,501417,266427,97,195,518641836,0.900889,0.417782,12.193225,8231,1.146899,0.245804,0.115945,0.635832,129
21743,16117844,339656,0.759224,14538652,15958702,572189,65,140,2820,9398,2198,437747,57,21264,0.863128,16559,578650,500402,171,221,1227097144,0.197278,0.453299,2.999028,9998,1.213187,0.400435,0.085332,0.393471,94
22108,6574577,503787,0.807843,15464315,7640811,174582,2004,64,3062,27675,7977,324826,93,23623,0.393911,768158,361170,108679,762,227,612176537,0.018048,0.245344,13.320751,5369,1.277804,0.237243,0.258556,0.497583,132
22365,5178770,571063,0.418486,2814679,1362119,993765,9727,338,7943,9711,4896,848573,243,24166,0.486,28164,173394,430084,355,309,1299419040,0.859306,0.958367,11.022775,8334,1.678978,0.036682,0.87103,0.480797,48
22594,1678252,416171,0.238691,1114013,12516661,731512,5134,84,8156,2404,4562,221889,27,14118,0.598206,676874,439957,455454,294,34,949739172,0.785053,0.827484,3.947043,4929,1.017853,0.205181,0.379429,0.664777,95
22978,5629565,37781,0.965033,9114266,13083318,439438,2663,334,1039,7987,6453,578992,7,2548,0.648082,829835,80629,137807,113,137,243961256,0.696125,0.393667,10.090057,1474,1.940738,0.34223,0.570799,0.31871,135
23244,15179182,813214,0.73966,4300142,12230764,518380,8843,225,3280,11581,9549,700347,374,25226,0.94518,665075,471438,310485,607,98,90888957,0.240264,0.892565,10.626927,1261,1.231756,0.818086,0.382954,0.570664,133
23401,1668925,721448,0.282782,9333565,10327121,681736,4902,188,6970,5991,5980,508106,277,16591,0.626702,247274,599702,554636,736,228,208521248,0.147375,0.267342,9.754993,4827,1.49467,0.133648,0.293674,0.32847,129
23801,12335797,382733,0.637543,11938223,4485313,164964,8129,41,8861,16634,9406,296873,253,13954,0.064387,588038,235115,295825,778,289,835982652,0.560674,0.615428,9.619715,8786,1.900644,0.720103,0.135163,0.272078,119
24082,5858997,552420,0.975086,624688,4613906,199531,3407,262,2195,5866,3731,857796,354,5217,0.729086,162282,569026,315635,436,167,704421881,0.315432,0.522972,1.936172,7221,1.349018,0.677445,0.776012,0.201638,69
24361,5499670,531010,0.168768,9885450,5604382,117324,10176,197,6829,3811,7188,469923,367,24786,0.340856,133603,360567,83670,235,158,297485019,0.223437,0.94829,3.644325,1825,1.117415,0.635038,0.153448,0.049569,88
24639,2474675,870356,0.144664,14271314,12127722,717605,7612,308,922,16122,3447,454839,311,29271,0.963617,1015568,523257,53751,668,188,532809785,0.382931,0.758076,8.740526,4083,1.935672,0.488012,0.462858,0.689908,131
24877,9814696,941725,0.348069,12196441,1096249,536925,6992,302,6176,28381,6958,416145,424,19022,0.694844,1028587,170587,400227,954,120,706625729,0.271559,0.4438,13.745639,2265,1.991386,0.964733,0.302103,0.351025,-1
25347,13881153,775545,0.822026,7554171,2487770,104803,331,351,2351,17188,4751,928994,378,29753,0.870603,995080,259664,420883,339,330,138935021,0.448149,0.924262,1.602162,9084,1.158137,0.149149,0.623673,0.764912,68
25558,11234876,344886,0.898511,1657482,9513544,609129,6191,222,3184,12495,9715,803532,206,1079,0.992109,472536,212302,592909,442,340,225945736,0.048593,0.797083,14.643335,8198,1.506413,0.178788,0.205494,0.236635,123
25879,13497874,484293,0.447427,4070618,11434707,214931,2190,116,3691,8918,6507,253054,438,11419,0.782257,963569,409935,45732,1012,348,999772805,0.350776,0.912754,6.892219,6070,1.561603,0.793225,0.219599,0.244927,132
25956,10192565,973225,0.374611,2490850,3567966,916839,2403,283,8635,8517,9785,132309,391,8528,0.804065,72683,503548,229041,994,342,815042825,0.59372,0.130476,11.402932,1540,1.478419,0.087293,0.588878,0.100415,122
26514,2230789,361724,0.87156,7112689,2654055,931309,6100,99,6421,3486,6243,309250,90,19542,0.080178,841249,453099,572682,686,251,375452006,0.180678,0.363285,4.840734,4176,1.511207,0.839044,0.453781,0.822527,78
26620,15817609,251834,0.535262,15907663,3762457,839078,10117,240,2671,15963,2423,361093,283,29011,0.825618,931855,51697,563545,146,150,1042641025,0.164717,0.848714,2.907605,7416,1.409779,0.560127,0.169755,0.083042,88
27093,11444627,905294,0.032525,7996869,9053793,464028,6823,305,8239,15407,4617,762249,274,17239,0.449432,875604,129383,181623,472,77,615108329,0.027031,0.99071,15.491737,1671,1.039704,0.418729,0.120226,0.841681,126
27233,4366525,884195,0.585408,8476026,13590231,632287,6873,257,5940,24427,5065,54666,119,22137,0.904093,886071,57606,522072,713,314,474674986,0.642239,0.933631,15.118474,8046,1.309198,0.915425,0.79028,0.752473,131
27598,9879288,30832,0.901197,5428286,10879307,95214,7495,296,6040,26991,7829,531212,215,6514,0.40129,716945,543384,513334,203,184,922680113,0.734682,0.142346,5.188316,2979,1.375516,0.355363,0.550378,0.924317,97
27885,4065733,741317,0.134764,10234601,14547627,289179,9146,107,4992,19617,1390,904996,498,16120,0.605532,818197,572192,388319,661,286,1310953370,0.664366,0.195825,12.740486,9343,1.316558,0.056113,0.413487,0.672768,138
28018,13471900,390154,0.5738,11734002,11093838,236085,9437,50,3487,29465,6922,955985,451,5465,0.37187,120664,552525,188324,27,205,434214473,0.068713,0.179802,8.005256,5993,1.756597,0.78669,0.569945,0.125165,129
28407,3420593,276992,0.498491,13823780,3895176,75277,4755,278,5476,27188,5006,488822,408,7175,0.884595,812460,190698,489116,886,46,180283872,0.295614,0.646431,4.710782,2627,1.542817,0.336817,0.333068,0.567593,88
28828,5320296,207771,0.09943,13934566,6385421,1003005,1436,73,4630,27929,8935,172148,386,13447,0.091249,558211,135035,494913,585,249,119450593,0.207069,0.60206,6.313,2489,1.644711,0.706027,0.051594,0.389623,129
29058,12154101,450249,0.478439,13503429,15184346,597057,1345,216,846,20467,5685,810772,449,27261,0.29155,258984,150217,518926,503,198,1192251881,0.57956,0.054935,12.446524,1016,1.295227,0.044128,0.598097,0.853205,133
29224,14604662,778632,0.211378,3431641,16254598,754830,8369,292,5235,21048,7057,35041,157,7886,0.057202,405406,275603,77736,63,261,1143202962,0.924586,0.541732,11.618189,6707,1.898541,0.689455,0.641842,0.452526,136
29625,7049609,641985,0.724576,16496874,9090443,940108,4174,231,1440,25933,8876,866463,487,20537,0.00418,288901,237950,345665,518,240,871985721,0.748812,0.038961,3.229492,5616,1.848123,0.940989,0.510417,0.146203,95
29946,7694929,593026,0.944389,7743736,16703075,811595,9524,111,5068,3150,7454,619213,33,13515,0.149397,1001006,111282,30675,461,66,1012905255,0.799996,0.81376,1.532776,5243,1.332586,0.28858,0.802928,0.416032,73
