@relation InitialSetByLHS

@attribute write_request_timeout_in_ms numeric
@attribute read_request_timeout_in_ms numeric
@attribute commitlog_total_space_in_mb numeric
@attribute key_cache_size_in_mb numeric
@attribute commitlog_segment_size_in_mb numeric
@attribute dynamic_snitch_badness_threshold numeric
@attribute index_summary_capacity_in_mb numeric
@attribute key_cache_save_period numeric
@attribute file_cache_size_in_mb numeric
@attribute thrift_framed_transport_size_in_mb numeric
@attribute memtable_heap_space_in_mb numeric
@attribute concurrent_writes numeric
@attribute index_summary_resize_interval_in_minutes numeric
@attribute commitlog_sync_period_in_ms numeric
@attribute range_request_timeout_in_ms numeric
@attribute rpc_min_threads numeric
@attribute batch_size_warn_threshold_in_kb numeric
@attribute concurrent_reads numeric
@attribute column_index_size_in_kb numeric
@attribute dynamic_snitch_update_interval_in_ms numeric
@attribute memtable_flush_writers numeric
@attribute request_timeout_in_ms numeric
@attribute cas_contention_timeout_in_ms numeric
@attribute permissions_validity_in_ms numeric
@attribute rpc_max_threads numeric
@attribute truncate_request_timeout_in_ms numeric
@attribute stream_throughput_outbound_megabits_per_sec numeric
@attribute memtable_offheap_space_in_mb numeric
@attribute performance numeric

@data
131152,152775,6919,15245,1972,0.887173,2656,11861,4631,9.513578,7533,3481,4.567181,150973,122335,974,4391119,3982,62349,247536,11.263496,87988,219820,36123,3569,17828,8496,9680,1810.74
133641,115582,12863,13901,971,0.678384,9464,8,8265,27.881711,3598,1505,2.022049,238235,233573,220,3565776,2903,23357,137921,8.951965,192392,36461,249477,2463,54682,819,12566,1775.42
135978,125577,8626,16225,524,0.974372,12667,9243,11122,27.587114,5173,3956,3.049204,30736,12670,639,8031113,2263,56338,189216,14.105895,252037,30655,94625,1035,179193,2532,11294,2057.35
139212,87695,2777,5572,671,0.764054,15343,11404,6294,28.591713,3353,2461,1.735893,32620,46689,681,14565693,3874,47679,198860,4.735549,150393,238762,29410,1709,141253,7453,8417,1870.32
141333,76557,10766,14235,409,0.83212,8033,13449,13130,13.805944,2088,1843,2.612161,112842,77949,93,3284037,1139,19657,80718,3.000955,179227,58736,178365,1938,228711,4423,13317,1784.35
143867,181692,8214,8560,1321,0.964485,2564,3558,14849,26.199836,2618,3893,4.720795,94932,246619,167,8929501,2989,33536,40440,17.671716,194727,132295,252561,2863,204793,677,15756,1535.82
146397,177609,11564,9012,288,0.150951,13183,540,15670,29.95109,12035,3728,4.468708,233682,128544,775,1684018,453,31200,52878,3.895885,214892,71901,230396,3949,267902,6292,4604,1859.76
148872,90401,3157,14258,379,0.148108,8990,11524,7375,18.411777,16295,368,4.483275,43313,1099,199,10293906,564,39768,1383,3.999106,8562,168730,35014,1880,217525,5243,15206,1530.33
153715,171818,14239,1630,170,0.097623,7063,4306,4967,19.918188,6282,2830,3.692928,204413,164920,243,9862110,1027,16036,86255,10.558864,169663,259281,97322,1492,258072,174,7688,1809.66
155735,166450,9702,911,1283,0.403171,14960,4141,9241,18.873458,9123,3173,3.36094,221781,95602,353,973559,3078,42992,188817,31.040755,73196,214599,244312,2899,206468,348,8158,1601.33
157417,3360,219,15034,1240,0.823319,9904,11014,1476,28.209867,5461,455,2.784596,75426,194825,782,9221890,186,1089,34117,32.504233,75873,226387,125607,1761,153998,5901,5575,1662.27
161362,129449,8905,13387,730,0.087595,7919,8763,2396,25.787167,4023,2720,3.509051,92121,78736,418,5297594,1685,43513,211000,33.024217,6285,119462,142260,2672,69043,967,9989,1393.98
164652,241655,12746,11673,1302,0.008938,2364,5510,15826,1.824952,1595,209,1.195989,119942,229375,829,11494489,1903,15227,113037,13.492349,97509,74071,1567,2436,138806,5170,15943,1714.14
166144,101295,13603,4337,1014,0.687535,7228,7827,14112,2.210919,5718,195,4.771755,258669,34491,954,395330,698,65042,110191,15.447522,119550,26435,190485,1551,117879,6675,8591,2130.09
